unit,status,no_rooms,no_bath,area(ftsq),id
#3,"Off-Market on 10/12/2010 at $1,650",studio,1 bath,,73971
#4,"Off-Market on 08/22/2018 at $10,250",2 beds,3 baths,"2,000 ftsq",73971
#1,"Off-Market on 10/18/2018 at $5,995",2 beds,1 bath,"1,100 ftsq",786613
#2,"Listed for rent at $6,500",2 beds,1 bath,"1,200 ftsq",786613
#3,"Off-Market on 02/15/2011 at $5,400",2 beds,1 bath,"1,200 ftsq",786613
#5,"Off-Market on 11/20/2013 at $5,200",2 beds,1 bath,"1,200 ftsq",786613
#4-5,"Sold on 04/24/2006 for $3,495,000",3 beds,2 baths,,786613
#1A,Off-Market,,,,73749
#2W,"Off-Market on 10/28/2015 at $2,995",2 beds,1 bath,,73749
TOWNHOUSE,"Off-Market on 10/24/2012 at $14,900",5 beds,4 baths,"2,800 ftsq",73749
#TH,"Off-Market on 10/24/2012 at $14,900",5 beds,4 baths,"2,800 ftsq",73749
#2A,Sold on 06/01/2017 for $0,,,,784204
#2B,"Sold on 10/15/1998 for $130,000",,,500 ftsq,784204
#2C,"Sold on 03/18/2013 for $335,000",,,510 ftsq,784204
#2D,"Listed for sale at $848,000",2 beds,1 bath,646 ftsq,784204
#3B,"Sold on 07/31/2003 for $270,000",,,485 ftsq,784204
#3D,"Sold on 10/03/2000 for $205,000",,,646 ftsq,784204
#4,"Off-Market on 09/28/2015 at $3,200",2 beds,1 bath,650 ftsq,784204
#4A,"Sold on 06/29/2004 for $370,000",,,646 ftsq,784204
#4B,Sold on 04/13/2018 for $0,,,485 ftsq,784204
#4C,"Sold on 03/06/2000 for $157,000",,,495 ftsq,784204
#4D,"Off-Market on 08/04/2017 at $3,950",1 bed,1 bath,646 ftsq,784204
#D,"Off-Market on 04/07/2015 at $2,900",2 beds,1 bath,800 ftsq,784204
#5A,Off-Market,,,,784204
#5B,"Sold on 08/06/2002 for $240,000",,,485 ftsq,784204
#5D,"Sold on 02/09/2004 for $300,000",,,646 ftsq,784204
#6A,"Sold on 11/27/2000 for $250,000",,,646 ftsq,784204
#6B,Sold on 09/30/2013 for $0,,,485 ftsq,784204
#6C,"Off-Market on 07/14/2016 at $3,000",1 bed,1 bath,,784204
#6D,Off-Market,,,646 ftsq,784204
#7B,"Off-Market on 03/19/2018 at $2,975",1 bed,1 bath,485 ftsq,784204
#7C,Off-Market,,,495 ftsq,784204
#8A,"Sold on 01/12/2000 for $150,000",,,646 ftsq,784204
#8B,"Sold on 09/26/2005 for $412,000",,,485 ftsq,784204
#8C,"Off-Market on 02/02/2015 at $2,300",1 bed,1 bath,500 ftsq,784204
#8D,Sold on 12/29/2010 for $0,,,646 ftsq,784204
#STA,"Sold on 06/26/2013 for $825,000",,,654 ftsq,784204
#STORB,"Sold on 03/02/2001 for $180,000",,,500 ftsq,784204
#STORC,Off-Market,,,"4,288 ftsq",784204
#1,"Off-Market on 05/10/2017 at $2,795",2 beds,1 bath,,785105
#2AK,"Off-Market on 11/13/2017 at $2,995",2 beds,1 bath,,785105
#2R,"Off-Market on 02/05/2017 at $5,495",3 beds,2 baths,,785105
#3,"Off-Market on 04/06/2018 at $2,700",2 beds,1 bath,,785105
#4D,"Off-Market on 07/13/2018 at $4,000",2 beds,1 bath,600 ftsq,785105
#4G,"Off-Market on 07/03/2018 at $5,000",2 beds,1 bath,600 ftsq,785105
#5,"Listed for rent at $3,050",2 beds,1 bath,,785105
#6,"Off-Market on 06/09/2018 at $2,900",2 beds,1 bath,,785105
#6A,"Off-Market on 07/05/2018 at $2,900",2 beds,1 bath,,785105
#7,"Off-Market on 12/04/2017 at $2,995",2 beds,1 bath,,785105
#10,"Off-Market on 05/04/2016 at $3,200",2 beds,1 bath,,785105
#11,"Off-Market on 10/05/2018 at $2,800",2 beds,1 bath,,785105
#12,"Off-Market on 08/29/2015 at $2,800",2 beds,1 bath,,785105
#13,"Off-Market on 06/07/2018 at $2,900",2 beds,1 bath,,785105
#14,"Off-Market on 04/24/2018 at $3,000",2 beds,1 bath,,785105
#18,"Off-Market on 04/27/2017 at $2,995",2 beds,1 bath,,785105
#1,"Listed for rent at $10,000",1 bed,1 bath,825 ftsq,73319
TOWNHOUSE,Off-Market,5 beds,5+ baths,"4,500 ftsq",73319
#TH,"Off-Market on 05/09/2018 at $32,000",5 beds,5 baths,"4,650 ftsq",73319
#1,"Off-Market on 04/04/2017 at $3,950",2 beds,1 bath,,785404
#TWNH,"Off-Market on 08/25/2009 at $70,000",6 beds,7 baths,"13,000 ftsq",73150
#1A,"Sold on 10/21/2005 for $380,000",,,380 ftsq,786264
#1B,"Off-Market on 11/26/2018 at $3,499",1 bed,1 bath,514 ftsq,786264
#2A,"Sold on 03/16/2010 for $470,450",1 bed,1 bath,485 ftsq,786264
#2B,"Off-Market on 02/25/2017 at $2,800",1 bed,1 bath,482 ftsq,786264
#3A,"Sold on 06/23/2010 for $525,000",,,485 ftsq,786264
#3B,"Off-Market on 08/02/2017 at $2,800",1 bed,1 bath,482 ftsq,786264
#4A,"Off-Market on 03/03/2016 at $2,600",1 bed,1 bath,485 ftsq,786264
#4B,"Off-Market on 04/13/2018 at $2,650",1 bed,1 bath,482 ftsq,786264
#5A,Off-Market,,,485 ftsq,786264
#5B,"Sold on 11/01/2001 for $217,000",,,482 ftsq,786264
#31A,"Sold on 12/27/2001 for $171,500",,,380 ftsq,786264
#40,"Off-Market on 04/01/2016 at $2,600",1 bed,1 bath,,786264
#UNK,"Sold on 06/24/2002 for $217,000",,,485 ftsq,786264
#2,Off-Market,,,,780184
#A,Sold on 07/24/2014 for $0,,,,780184
#3,"Off-Market on 12/08/2014 at $12,000",2 beds,2.5 baths,"1,515 ftsq",780184
#B,Sold on 07/24/2014 for $0,,,,780184
#C,Sold on 07/24/2014 for $0,,,,780184
#D,Sold on 07/24/2014 for $0,,,,780184
#E,Sold on 07/24/2014 for $0,,,,780184
#F,Sold on 07/24/2014 for $0,,,,780184
#10K,"Off-Market on 03/08/2018 at $4,200",3 beds,1 bath,,780184
#15C,"Off-Market on 04/22/2014 at $3,995",1 bed,1 bath,800 ftsq,780184
#28,Off-Market,,,,780184
#SS3,Sold on 06/12/2017 for $0,,,,780184
#SS9,"Sold on 05/23/2017 for $64,000",,,,780184
#SS17,"Sold on 06/30/2017 for $15,000",,,,780184
#SS29,"Sold on 05/14/2018 for $31,565",,,,780184
#SS33,"Sold on 06/20/2017 for $50,000",,,,780184
STE-411,"Off-Market on 07/14/2017 at $1,100,000",studio,1 bath,611 ftsq,780184
#111,Off-Market,,,,780184
#201,"Off-Market on 01/10/2016 at $4,500",studio,1 bath,564 ftsq,780184
#203,"Sold on 07/08/2014 for $950,000",1 bed,1 bath,773 ftsq,780184
#204,"Off-Market on 10/25/2018 at $3,350",studio,1 bath,475 ftsq,780184
#205,"Listed for rent at $5,750",1 bed,2 baths,850 ftsq,780184
#206,"Listed for sale at $975,000",studio,1 bath,475 ftsq,780184
#207,"Off-Market on 02/20/2015 at $6,500",studio,1 bath,475 ftsq,780184
#209,"Sold on 07/08/2014 for $650,000",studio,1 bath,462 ftsq,780184
#210,"Sold on 01/05/2017 for $2,550,000",2 beds,2 baths,"1,332 ftsq",780184
#211,"Sold on 08/17/2017 for $3,250,000",2 beds,2 baths,"1,589 ftsq",780184
#260,Off-Market,studio,1 bath,475 ftsq,780184
#301,"Sold on 04/21/2014 for $895,000",1 bed,1 bath,522 ftsq,780184
#302,"Off-Market on 05/16/2014 at $3,800",1 bed,1 bath,564 ftsq,780184
#303,"Off-Market on 01/13/2017 at $8,000",2 beds,2.5 baths,"1,244 ftsq",780184
#304,Sold on 04/16/2018 for $0,1 bed,1 bath,773 ftsq,780184
#305,Sold on 12/16/2015 for $0,studio,1 bath,495 ftsq,780184
#306,"Off-Market on 04/24/2014 at $3,150",studio,1 bath,495 ftsq,780184
#307,"Sold on 12/27/2017 for $925,000",studio,1 bath,475 ftsq,780184
#308,"Sold on 01/03/2017 for $625,000",studio,1 bath,462 ftsq,780184
#309,"Sold on 04/21/2014 for $1,850,000",2 beds,2 baths,"1,332 ftsq",780184
#310,"Sold on 01/13/2017 for $1,050,000",studio,1 bath,611 ftsq,780184
#311,"Listed for rent at $15,500",2 beds,2.5 baths,"1,515 ftsq",780184
#401,"Off-Market on 02/18/2015 at $3,950",1 bed,1 bath,564 ftsq,780184
#402,"Off-Market on 08/08/2016 at $2,665,000",2 beds,2.5 baths,"1,244 ftsq",780184
#403,"Sold on 04/21/2014 for $1,065,000",1 bed,1 bath,773 ftsq,780184
#404,"Off-Market on 05/22/2018 at $3,500",studio,1 bath,475 ftsq,780184
#405,"Off-Market on 11/09/2017 at $3,995",studio,1 bath,475 ftsq,780184
#406,"Off-Market on 09/18/2018 at $3,350",studio,1 bath,475 ftsq,780184
#407,"Off-Market on 04/21/2014 at $715,000",studio,1 bath,475 ftsq,780184
#408,"Sold on 01/03/2017 for $790,000",studio,1 bath,475 ftsq,780184
#409,"Off-Market on 04/29/2016 at $3,200",studio,1 bath,475 ftsq,780184
#410,"Sold on 02/05/2014 for $1,800,000",2 beds,2 baths,"1,332 ftsq",780184
#411,"Sold on 07/19/2016 for $1,100,000",studio,1 bath,611 ftsq,780184
#412,Off-Market,,,,780184
#501,"Off-Market on 04/09/2018 at $7,600",2 beds,2 baths,"1,180 ftsq",780184
#502,"Sold on 07/15/2015 for $4,100,000",3 beds,3.5 baths,"1,917 ftsq",780184
#503,"Off-Market on 04/11/2017 at $3,200",studio,1 bath,475 ftsq,780184
#504,"Sold on 07/24/2018 for $945,000",studio,1 bath,475 ftsq,780184
#505,"Off-Market on 03/29/2017 at $13,750",3 beds,3.5 baths,"1,888 ftsq",780184
#506,Sold on 06/15/2016 for $0,2 beds,2 baths,"1,332 ftsq",780184
#507,Sold on 07/09/2015 for $0,4 beds,3.5 baths,"2,313 ftsq",780184
#601,Sold on 10/27/2015 for $0,2 beds,2 baths,"1,180 ftsq",780184
#602,"Off-Market on 03/29/2018 at $12,000",3 beds,3.5 baths,"1,917 ftsq",780184
#603,"Sold on 02/05/2014 for $1,650,000",1 bed,1.5 baths,971 ftsq,780184
#604,"Off-Market on 07/13/2016 at $9,150",2 beds,2.5 baths,"1,410 ftsq",780184
#605,"Sold on 10/04/2018 for $2,525,000",2 beds,2.5 baths,"1,362 ftsq",780184
#606,"Off-Market on 08/27/2018 at $3,950",studio,1 bath,611 ftsq,780184
#607,"Sold on 03/03/2014 for $750,000",1 bed,1 bath,535 ftsq,780184
#701,"Off-Market on 12/17/2018 at $2,300,000",2 beds,2 baths,"1,180 ftsq",780184
#702,"Sold on 02/05/2014 for $3,300,000",3 beds,3.5 baths,"1,917 ftsq",780184
#703,"Sold on 05/29/2015 for $1,565,000",1 bed,1 bath,827 ftsq,780184
#704,"Off-Market on 09/25/2018 at $12,500",3 beds,3.5 baths,"1,980 ftsq",780184
#705,"Off-Market on 11/20/2016 at $8,100",2 beds,2.5 baths,"1,353 ftsq",780184
#706,"Sold on 02/05/2014 for $3,150,000",3 beds,3.5 baths,"2,287 ftsq",780184
#801,"Sold on 10/05/2017 for $2,150,000",2 beds,2 baths,"1,180 ftsq",780184
#802,"Sold on 01/19/2018 for $3,600,000",3 beds,3.5 baths,"1,923 ftsq",780184
#803,"Off-Market on 09/29/2017 at $4,950",1 bed,1 bath,827 ftsq,780184
#804,"Off-Market on 07/05/2016 at $4,495,000",3 beds,3.5 baths,,780184
#805,"Off-Market on 10/24/2016 at $8,200",2 beds,2.5 baths,"1,353 ftsq",780184
#806,"Sold on 01/27/2014 for $3,258,400",3 beds,3.5 baths,"2,287 ftsq",780184
#901,"Off-Market on 12/05/2018 at $2,350,000",2 beds,2 baths,"1,200 ftsq",780184
#902,"Off-Market on 04/24/2018 at $12,000",3 beds,3.5 baths,"1,917 ftsq",780184
#903,"Off-Market on 03/15/2016 at $5,300",1 bed,1 bath,827 ftsq,780184
#904,"Off-Market on 02/16/2016 at $14,500",3 beds,3.5 baths,"1,980 ftsq",780184
#905,Sold on 10/28/2015 for $0,2 beds,2.5 baths,"1,353 ftsq",780184
#906,"Sold on 02/05/2015 for $3,750,000",3 beds,3.5 baths,"2,287 ftsq",780184
#1001,"Sold on 07/08/2014 for $1,800,000",2 beds,2 baths,"1,180 ftsq",780184
#1002,"Sold on 07/08/2014 for $3,650,000",3 beds,3.5 baths,"1,917 ftsq",780184
#1003,"Off-Market on 10/26/2018 at $5,545",1 bed,1 bath,827 ftsq,780184
#1004,"Sold on 03/03/2014 for $3,300,000",3 beds,3.5 baths,"1,980 ftsq",780184
#1005,"Sold on 02/05/2014 for $2,475,000",2 beds,2.5 baths,"1,353 ftsq",780184
#1006,"Sold on 02/01/2018 for $4,050,000",3 beds,3.5 baths,"2,287 ftsq",780184
#1101,"Sold on 03/20/2014 for $1,830,000",2 beds,2 baths,"1,180 ftsq",780184
#1102,"Sold on 03/10/2014 for $3,848,985",3 beds,3.5 baths,"1,917 ftsq",780184
#1103,"Off-Market on 03/02/2018 at $5,200",1 bed,1 bath,827 ftsq,780184
#1104,"Off-Market on 07/16/2017 at $13,500",3 beds,3.5 baths,"1,980 ftsq",780184
#1105,"Sold on 07/27/2017 for $2,900,000",2 beds,2.5 baths,"1,353 ftsq",780184
#1106,"Sold on 03/20/2014 for $4,500,000",2 beds,2.5 baths,"2,302 ftsq",780184
#1201,"Off-Market on 05/25/2014 at $8,500",2 beds,2 baths,"1,180 ftsq",780184
#1202,"Sold on 04/14/2014 for $3,920,263",3 beds,3.5 baths,"1,917 ftsq",780184
#1203,"Sold on 04/21/2014 for $1,550,000",1 bed,1 bath,827 ftsq,780184
#1204,"Sold on 06/16/2014 for $3,512,963",3 beds,3.5 baths,"1,980 ftsq",780184
#1205,"Sold on 03/02/2015 for $1,858,306",1 bed,1.5 baths,934 ftsq,780184
#1206,"Sold on 07/02/2014 for $5,630,923",3 beds,3.5 baths,"2,721 ftsq",780184
#1401,"Off-Market on 10/03/2017 at $12,495",3 beds,3.5 baths,"1,892 ftsq",780184
#2010,Off-Market,,,,780184
#8014,"Off-Market on 04/25/2014 at $7,500",2 beds,2 baths,"1,180 ftsq",780184
#PH1,"Sold on 03/16/2017 for $7,995,000",3 beds,3.5 baths,"2,787 ftsq",780184
#PH2,"Sold on 06/01/2015 for $7,000,000",3 beds,3.5 baths,"2,693 ftsq",780184
#PH3,"Off-Market on 07/17/2017 at $7,750,000",3 beds,3.5 baths,,780184
#PH4,"Sold on 09/24/2014 for $7,194,955",3 beds,3.5 baths,"2,797 ftsq",780184
#PH5,"Listed for sale at $6,350,000",3 beds,3.5 baths,"2,667 ftsq",780184
#PH6,"Sold on 09/05/2014 for $4,950,000",3 beds,3.5 baths,"2,251 ftsq",780184
#PH7,"Off-Market on 08/17/2018 at $39,000",4 beds,4.5 baths,"3,298 ftsq",780184
#3B,"Off-Market on 05/27/2012 at $1,899",studio,1 bath,,72712
#1,"Off-Market on 10/20/2012 at $4,000",2 beds,1 bath,,785161
#1F,Off-Market,2 beds,1 bath,,785161
#2,"Off-Market on 08/08/2012 at $4,000",3 beds,2 baths,,785161
#3C,"Off-Market on 02/05/2015 at $2,595",1 bed,1 bath,,785161
#5,"Off-Market on 08/02/2017 at $2,800",2 beds,1 bath,,785161
#10,"Off-Market on 09/02/2018 at $2,675",2 beds,1 bath,,785161
#11,"Off-Market on 02/28/2018 at $2,500",2 beds,1 bath,,785161
#12,"Off-Market on 07/14/2016 at $2,800",2 beds,1 bath,,785161
#1/2F,"Off-Market on 11/18/2013 at $3,600",1 bed,1 bath,"1,200 ftsq",785161
#12R,"Off-Market on 09/06/2017 at $4,550",3 beds,1 bath,,785161
#13,"Off-Market on 04/27/2016 at $2,800",2 beds,1 bath,,785161
#15,"Off-Market on 08/26/2016 at $2,800",1 bed,1 bath,,785161
#16,"Off-Market on 01/06/2016 at $2,500",2 beds,1 bath,,785161
#18,"Off-Market on 08/02/2018 at $2,600",2 beds,1 bath,,785161
#19,"Listed for rent at $2,500",2 beds,1 bath,,785161
#20,"Off-Market on 05/15/2015 at $2,695",2 beds,1 bath,700 ftsq,785161
#21,"Off-Market on 07/23/2017 at $2,950",1 bed,1 bath,,785161
#VAR,"Off-Market on 07/10/2013 at $2,600",2 beds,1 bath,,785161
#1,"Sold on 07/09/2008 for $1,025,000",,,,780728
#2,"Off-Market on 03/02/2018 at $9,500",3 beds,2 baths,"2,750 ftsq",780728
#2A,"Off-Market on 09/27/2018 at $6,750",1 bed,1 bath,"1,275 ftsq",780728
#2B,"Off-Market on 11/03/2017 at $11,000",2 beds,2 baths,"2,750 ftsq",780728
#2F,"Off-Market on 05/22/2014 at $7,500",1 bed,1 bath,"1,150 ftsq",780728
#2R,"Off-Market on 11/03/2017 at $11,000",2 beds,2 baths,"2,750 ftsq",780728
#2JJ,Off-Market,,,"2,620 ftsq",780728
#3A,Sold on 05/01/2014 for $0,,,,780728
#3B,"Off-Market on 12/22/2018 at $1,750,000",4 beds,3 baths,"2,922 ftsq",780728
#4,"Sold on 08/22/2008 for $1,274,625",,,,780728
#5,"Off-Market on 07/18/2018 at $7,995,000",4 beds,5 baths,"4,100 ftsq",780728
#5A,"Sold on 06/28/2010 for $966,650",,,,780728
#5B,"Sold on 06/28/2010 for $966,650",,,,780728
#5C,"Sold on 06/28/2010 for $966,700",,,,780728
#6,"Sold on 07/24/2009 for $4,000,000",,,,780728
#PH,"Sold on 07/24/2009 for $4,000,000",3 beds,2 baths,"4,200 ftsq",780728
#1,"Off-Market on 06/22/2012 at $4,700",1 bed,1 bath,,71119
#2,"Off-Market on 06/04/2012 at $4,700",1 bed,1 bath,900 ftsq,71119
#3,"Off-Market on 07/28/2015 at $5,350",1 bed,1 bath,925 ftsq,71119
#4,"Off-Market on 07/10/2017 at $5,400",1 bed,1 bath,950 ftsq,71119
#,"Off-Market on 05/16/2011 at $2,050",2 beds,2 baths,,776902
#3F,Off-Market,,,,776902
#3FLEX,"Off-Market on 09/27/2013 at $4,295",3 beds,1 bath,,776902
#4,"Off-Market on 04/23/2013 at $2,895",1 bed,1 bath,,776902
#5B,Off-Market,,,,776902
#6,Off-Market,,,,776902
#7,"Off-Market on 04/23/2013 at $2,215",1 bed,1 bath,,776902
#9,"Off-Market on 08/29/2014 at $2,400",studio,1 bath,,776902
#11,"Off-Market on 04/09/2013 at $2,250",studio,1 bath,,776902
#12,"Off-Market on 06/10/2013 at $3,000",1 bed,1 bath,,776902
#14,"Off-Market on 03/27/2013 at $2,895",1 bed,1 bath,,776902
#15,"Off-Market on 08/29/2014 at $2,900",1 bed,1 bath,,776902
#18F,Off-Market,,,550 ftsq,776902
#21,"Off-Market on 12/09/2013 at $2,200",studio,1 bath,,776902
VAR1BRS,"Off-Market on 08/20/2012 at $2,940",1 bed,1 bath,,776902
#STUDIO,"Off-Market on 04/16/2013 at $2,320",studio,1 bath,,776902
#301,"Off-Market on 11/03/2018 at $2,695",studio,1 bath,,776902
#302,"Off-Market on 05/07/2013 at $2,300",studio,1 bath,,776902
#304,"Off-Market on 09/26/2013 at $2,653",2 beds,1 bath,,776902
#306,"Off-Market on 03/20/2013 at $2,150",studio,1 bath,,776902
#307,"Off-Market on 04/29/2015 at $2,500",studio,1 bath,,776902
#308,"Off-Market on 05/10/2013 at $2,290",studio,1 bath,535 ftsq,776902
#309,"Off-Market on 08/20/2017 at $2,452",studio,1 bath,,776902
#310,"Off-Market on 03/30/2017 at $2,838",1 bed,1 bath,,776902
#312,Off-Market,,,,776902
#314,Off-Market,,,,776902
#315,"Off-Market on 06/09/2010 at $2,000",1 bed,1 bath,,776902
#401,"Off-Market on 06/23/2015 at $4,395",2 beds,2 baths,"1,100 ftsq",776902
#402,"Off-Market on 07/11/2018 at $3,125",3 beds,1 bath,,776902
#403,"Listed for rent at $2,929",1 bed,1 bath,,776902
#404,"Off-Market on 06/20/2017 at $2,429",studio,1 bath,,776902
#405,Off-Market,,,,776902
#406,"Off-Market on 10/08/2014 at $2,870",2 beds,1 bath,,776902
#408,"Off-Market on 10/04/2014 at $2,495",3 beds,1 bath,,776902
#409,"Off-Market on 09/19/2018 at $3,350",1 bed,1 bath,,776902
#410,"Off-Market on 07/02/2014 at $3,195",1 bed,1 bath,,776902
#411,"Off-Market on 06/30/2017 at $2,695",studio,1 bath,,776902
#412,"Off-Market on 05/15/2012 at $2,596",studio,1 bath,,776902
#412SP,Off-Market,,,,776902
#414,Off-Market,,,,776902
#415,"Off-Market on 01/12/2018 at $3,132",1 bed,1 bath,,776902
#416,"Off-Market on 08/02/2014 at $2,350",studio,1 bath,,776902
#419,"Off-Market on 07/09/2017 at $3,250",1 bed,1 bath,,776902
#422,"Off-Market on 06/09/2018 at $3,395",1 bed,1 bath,,776902
423-MIA,"Off-Market on 04/07/2018 at $2,505",studio,1 bath,,776902
#424,"Off-Market on 02/24/2018 at $2,575",studio,1 bath,,776902
#425,"Off-Market on 09/23/2017 at $4,369",3 beds,1 bath,,776902
#455,"Off-Market on 06/18/2013 at $2,935",2 beds,1 bath,,776902
#501,"Off-Market on 12/20/2013 at $3,495",3 beds,1 bath,,776902
#503,"Off-Market on 01/12/2018 at $2,775",2 beds,1 bath,,776902
#504,"Off-Market on 05/15/2012 at $2,575",studio,1 bath,,776902
#504SP,Off-Market,,,,776902
#507,"Off-Market on 06/19/2018 at $3,195",1 bed,1 bath,,776902
#508,"Off-Market on 12/17/2014 at $2,315",studio,1 bath,,776902
508-MIA,"Off-Market on 05/03/2018 at $2,505",studio,1 bath,,776902
#510,"Off-Market on 05/14/2017 at $3,400",1 bed,1 bath,,776902
#511,"Off-Market on 09/25/2015 at $2,650",studio,1 bath,,776902
#512,"Off-Market on 06/23/2015 at $2,650",studio,1 bath,,776902
#515,"Off-Market on 08/25/2017 at $3,250",1 bed,1 bath,,776902
#516,"Off-Market on 07/18/2017 at $2,520",studio,1 bath,,776902
#517,"Off-Market on 08/18/2017 at $3,392",2 beds,1 bath,750 ftsq,776902
#519,"Off-Market on 06/14/2016 at $3,195",1 bed,1 bath,,776902
#520,"Off-Market on 04/13/2012 at $2,967",2 beds,1 bath,,776902
#521,"Off-Market on 04/07/2013 at $2,440",studio,1 bath,,776902
#522,"Off-Market on 03/27/2014 at $2,840",1 bed,1 bath,,776902
#523,"Off-Market on 11/24/2017 at $2,333",studio,1 bath,,776902
#524,"Off-Market on 04/13/2012 at $2,564",studio,1 bath,,776902
#525,"Off-Market on 09/19/2018 at $4,550",2 beds,1 bath,,776902
#600,"Off-Market on  at $1,800",1 bed,1 bath,,776902
#601,"Off-Market on 08/13/2014 at $4,310",3 beds,1 bath,,776902
#602,"Off-Market on 10/18/2018 at $3,295",1 bed,1 bath,,776902
#603,"Off-Market on 04/07/2018 at $3,125",1 bed,1 bath,,776902
#604,"Off-Market on 03/12/2017 at $2,145",studio,1 bath,,776902
#606,Off-Market,,,,776902
#607,"Off-Market on 02/15/2017 at $2,752",3 beds,2 baths,"1,155 ftsq",776902
#608,"Listed for rent at $2,422",studio,1 bath,,776902
#610,"Off-Market on 08/22/2015 at $3,395",2 beds,1 bath,,776902
#614,"Off-Market on 11/21/2016 at $2,484",studio,1 bath,,776902
#616,"Off-Market on 06/14/2017 at $2,525",studio,1 bath,550 ftsq,776902
#617,"Off-Market on 02/24/2018 at $3,300",2 beds,1 bath,,776902
#619,"Off-Market on 04/28/2017 at $2,979",studio,1 bath,,776902
#621,"Off-Market on 02/08/2014 at $2,450",studio,1 bath,,776902
#622,"Off-Market on 08/11/2017 at $3,208",1 bed,1 bath,,776902
623-MIA,"Off-Market on 05/03/2018 at $2,505",studio,1 bath,,776902
#624,Off-Market,,,,776902
#625,"Off-Market on 06/10/2015 at $4,595",2 beds,2 baths,"1,100 ftsq",776902
#650,"Off-Market on 06/02/2017 at $2,895",1 bed,1 bath,,776902
#701,"Off-Market on 08/13/2014 at $4,885",2 beds,2 baths,"1,180 ftsq",776902
#702,"Off-Market on 07/23/2018 at $3,150",1 bed,1 bath,,776902
#703,"Off-Market on 05/30/2018 at $3,150",1 bed,1 bath,,776902
#705,"Off-Market on 04/10/2018 at $2,612",1.5 beds,1 bath,,776902
#708,"Off-Market on 08/24/2018 at $2,750",studio,1 bath,500 ftsq,776902
#709,"Off-Market on 08/09/2013 at $2,745",1 bed,1 bath,,776902
#710,"Off-Market on 09/08/2018 at $3,575",1 bed,1 bath,700 ftsq,776902
#711,"Off-Market on 09/26/2017 at $2,567",studio,1 bath,,776902
#712,"Off-Market on 09/20/2016 at $2,521",studio,1 bath,,776902
#714,"Off-Market on 09/19/2018 at $2,750",studio,1 bath,550 ftsq,776902
#715,"Off-Market on 04/07/2018 at $3,395",2 beds,1 bath,700 ftsq,776902
#715SP,Off-Market,,,,776902
#716,"Off-Market on 03/20/2016 at $2,396",studio,1 bath,,776902
#717,"Off-Market on 05/10/2018 at $3,595",1 bed,1 bath,,776902
#719,"Off-Market on 02/24/2018 at $3,195",2 beds,1 bath,,776902
#720,Off-Market,,,,776902
#721,"Off-Market on 06/17/2017 at $2,543",studio,1 bath,,776902
#722,"Off-Market on 03/31/2017 at $2,873",1 bed,1 bath,,776902
#723,"Off-Market on 07/09/2017 at $2,429",studio,1 bath,,776902
#724,"Off-Market on 06/15/2016 at $2,363",studio,1 bath,,776902
#725,"Off-Market on 12/19/2018 at $4,500",2 beds,2 baths,,776902
#801,"Off-Market on 05/14/2017 at $3,995",2 beds,1 bath,,776902
#802,"Off-Market on 09/01/2017 at $2,979",1 bed,1 bath,,776902
#803,"Off-Market on 08/24/2018 at $3,295",1 bed,1 bath,,776902
#804,"Off-Market on 12/19/2018 at $2,444",studio,1 bath,,776902
#805,"Off-Market on 07/07/2009 at $2,400",studio,1 bath,,776902
#807,"Off-Market on 07/30/2017 at $3,395",1 bed,1 bath,,776902
#809,"Off-Market on 08/03/2018 at $3,250",1 bed,1 bath,600 ftsq,776902
#811,"Off-Market on 09/30/2016 at $2,562",studio,1 bath,,776902
#814,"Off-Market on 10/13/2017 at $2,445",studio,1 bath,,776902
#815,"Off-Market on 09/19/2018 at $3,495",1 bed,1 bath,,776902
#816,"Off-Market on 03/05/2015 at $2,650",studio,1 bath,,776902
#818,"Off-Market on 08/25/2017 at $3,437",2 beds,1 bath,,776902
#819,"Off-Market on 07/07/2015 at $3,095",2 beds,1 bath,,776902
#821,"Off-Market on 04/27/2018 at $2,795",1 bed,1 bath,,776902
#822,"Off-Market on 11/04/2014 at $3,065",2 beds,1 bath,,776902
#823,"Off-Market on 11/24/2017 at $2,377",studio,1 bath,,776902
#825,"Off-Market on  at $4,500",2 beds,2 baths,"1,150 ftsq",776902
#901,"Off-Market on 08/24/2018 at $3,450",1 bed,1 bath,,776902
#902,"Off-Market on 04/13/2018 at $2,595",studio,1 bath,,776902
#904,"Off-Market on 12/19/2018 at $2,450",studio,1 bath,,776902
#905,"Off-Market on 06/09/2018 at $2,925",1 bed,1 bath,,776902
#906,"Off-Market on 09/19/2013 at $2,745",1 bed,1 bath,,776902
#908,"Off-Market on 01/18/2017 at $2,255",studio,1 bath,,776902
#909,"Off-Market on 09/08/2017 at $3,093",1 bed,1 bath,,776902
#910,Off-Market,,,,776902
#911,Off-Market,,,,776902
#912,"Off-Market on 09/10/2017 at $2,566",studio,1 bath,,776902
#914,"Off-Market on 09/02/2015 at $2,725",studio,1 bath,,776902
#915,"Off-Market on 04/12/2017 at $3,203",2 beds,1 bath,,776902
#917,"Off-Market on 06/25/2014 at $3,350",2 beds,1 bath,,776902
#919,Off-Market,,,,776902
#920,"Off-Market on 10/26/2013 at $2,745",1 bed,1 bath,,776902
#921,"Off-Market on 04/12/2017 at $2,590",studio,1 bath,,776902
#923,"Off-Market on 01/27/2012 at $2,300",studio,1 bath,,776902
