unit,status,no_rooms,no_bath,area(ftsq),id,units,stories,zip,age,Co-op,Condo,Rental Building,Single-Family Home,Doorman,Full-time Doorman,Elevator,Part-time Doorman,Cats and Dogs Allowed,Cats Only - No Dogs,Pets Allowed,ZIPCODE,SCORE
39,#209,650000.0,0.0,1.0,462,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
40,#210,2550000.0,2.0,2.0,1332,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
41,#211,3250000.0,2.0,2.0,1589,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
42,#301,895000.0,1.0,1.0,522,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
43,#302,3800.0,1.0,1.0,564,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
44,#303,8000.0,2.0,2.5,1244,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
45,#304,8000.0,1.0,1.0,773,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
46,#305,8000.0,0.0,1.0,495,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
47,#306,3150.0,0.0,1.0,495,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
48,#307,925000.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
49,#308,625000.0,0.0,1.0,462,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
50,#309,1850000.0,2.0,2.0,1332,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
51,#310,1050000.0,0.0,1.0,611,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
52,#311,15500.0,2.0,2.5,1515,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
53,#401,3950.0,1.0,1.0,564,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
54,#402,2665000.0,2.0,2.5,1244,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
55,#403,1065000.0,1.0,1.0,773,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
56,#404,3500.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
57,#405,3995.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
58,#406,3350.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
59,#407,715000.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
60,#408,790000.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
61,#409,3200.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
62,#410,1800000.0,2.0,2.0,1332,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
63,#411,1100000.0,0.0,1.0,611,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
64,#501,7600.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
65,#502,4100000.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
66,#503,3200.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
67,#504,945000.0,0.0,1.0,475,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
68,#505,13750.0,3.0,3.5,1888,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
69,#506,13750.0,2.0,2.0,1332,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
70,#507,13750.0,4.0,3.5,2313,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
71,#601,13750.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
72,#602,12000.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
73,#603,1650000.0,1.0,1.5,971,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
74,#604,9150.0,2.0,2.5,1410,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
75,#605,2525000.0,2.0,2.5,1362,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
76,#606,3950.0,0.0,1.0,611,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
77,#607,750000.0,1.0,1.0,535,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
78,#701,2300000.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
79,#702,3300000.0,3.0,3.5,1917,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
80,#703,1565000.0,1.0,1.0,827,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
81,#704,12500.0,3.0,3.5,1980,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
82,#705,8100.0,2.0,2.5,1353,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
83,#706,3150000.0,3.0,3.5,2287,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
84,#801,2150000.0,2.0,2.0,1180,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
85,#802,3600000.0,3.0,3.5,1923,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
86,#803,4950.0,1.0,1.0,827,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
87,#805,8200.0,2.0,2.5,1353,780184,91.0,17.0,10013.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10013.0,22.373751422430143
