,unit,status,no_rooms,no_bath,area(ftsq),id,date,price
9506,#10U,"Off-Market,rent",2 beds,1 bath,545 ftsq,776525, 07/30/2018 ,3178.0
9507,#10V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 05/10/2017 ,2969.0
9508,#10W,"Off-Market,rent",1 bed,1 bath,851 ftsq,776525, 04/07/2017 ,3968.0
9509,#10X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 05/23/2014 ,2577.0
9510,#10Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 04/15/2014 ,2868.0
9511,#10Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 07/19/2018 ,3713.0
9512,#11,"Off-Market,rent",studio,1 bath,,776525, 04/24/2010 ,2650.0
9513,#11A,"Off-Market,rent",2 beds,2 baths,"1,296 ftsq",776525, 11/19/2016 ,5750.0
9514,#11C,"Off-Market,rent",studio,1 bath,547 ftsq,776525, 03/28/2015 ,3076.0
9515,#11F,"Off-Market,rent",1 bed,1 bath,781 ftsq,776525, 05/07/2018 ,4119.0
9516,#11H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 08/15/2014 ,3595.0
9517,#11I,"Off-Market,rent",1 bed,1 bath,833 ftsq,776525, 08/02/2017 ,4019.0
9518,#11J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 09/13/2014 ,3244.0
9519,#11Q,"Off-Market,rent",studio,1 bath,658 ftsq,776525, 04/29/2016 ,2921.0
9520,#11S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 05/20/2015 ,2967.0
9521,#11T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 09/25/2017 ,3090.0
9522,#11U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 01/15/2018 ,2774.0
9523,#11V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 06/03/2018 ,3168.0
9524,#11W,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 08/14/2017 ,4071.0
9525,#11Y,"Off-Market,rent",studio,1 bath,584 ftsq,776525, 01/12/2018 ,3173.0
9526,#12,"Off-Market,rent",3 beds,1 bath,,776525, 02/06/2018 ,3700.0
9527,#K,"Off-Market,rent",1 bed,1 bath,,776525, 02/06/2013 ,3300.0
9528,#12A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 01/22/2017 ,5191.0
9529,#12B,"Off-Market,rent",studio,1 bath,679 ftsq,776525, 06/24/2018 ,3574.0
9530,#12D,"Off-Market,rent",2 beds,1 bath,921 ftsq,776525, 05/21/2018 ,3631.0
9531,#12E,"Off-Market,rent",1 bed,1 bath,782 ftsq,776525, 08/10/2017 ,4377.0
9532,#12F,"Off-Market,rent",1 bed,1 bath,,776525, 05/16/2015 ,4305.0
9533,#12H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 09/23/2015 ,3763.0
9534,#12I,"Off-Market,rent",1 bed,1 bath,833 ftsq,776525, 10/23/2015 ,4123.0
9535,#12J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 02/09/2016 ,3219.0
9536,#12K,"Off-Market,rent",studio,1 bath,924 ftsq,776525, 05/10/2018 ,3356.0
9537,#12L,"Off-Market,rent",1 bed,1 bath,667 ftsq,776525, 02/24/2016 ,3605.0
9538,#12M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 06/06/2017 ,4044.0
9539,#12N,"Off-Market,rent",studio,1 bath,581 ftsq,776525, 01/06/2018 ,3108.0
9540,#12Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 10/14/2015 ,3152.0
9541,#12R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 06/04/2016 ,3172.0
9542,#12S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 06/07/2014 ,2799.0
9543,#12T,"Off-Market,rent",studio,1 bath,550 ftsq,776525, 05/10/2018 ,2874.0
9544,#12U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 07/12/2018 ,3028.0
9545,#12V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 03/16/2018 ,3037.0
9546,#12W,"Off-Market,rent",1 bed,1 bath,851 ftsq,776525, 08/25/2018 ,3750.0
9547,#12Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 10/31/2017 ,3141.0
9548,#L,"Off-Market,rent",1 bed,1 bath,,776525, 05/12/2011 ,3140.0
9549,#14A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 02/23/2016 ,5590.0
9550,#14D,"Off-Market,rent",studio,1 bath,,776525, 08/17/2016 ,3756.0
9551,#14F,"Off-Market,rent",1 bed,1 bath,781 ftsq,776525, 07/06/2017 ,4318.0
9552,#14G,"Off-Market,rent",1 bed,1 bath,738 ftsq,776525, 01/07/2014 ,3550.0
9553,#14H,"Off-Market,rent",1 bed,1 bath,665 ftsq,776525, 03/19/2016 ,3691.0
9554,#14I,"Off-Market,rent",1 bed,1 bath,833 ftsq,776525, 03/26/2018 ,4079.0
9555,#14J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 10/31/2017 ,3392.0
9556,#14K,"Off-Market,rent",studio,1 bath,924 ftsq,776525, 06/30/2017 ,3901.0
9557,#14N,"Off-Market,rent",studio,1 bath,581 ftsq,776525, 03/30/2018 ,3161.0
9558,#14Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 09/11/2017 ,3019.0
9559,#14R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 04/23/2018 ,2849.0
9560,#14S,"Off-Market,rent",studio,1 bath,,776525, 05/17/2016 ,3021.0
9561,#14V,"Off-Market,rent",studio,1 bath,549 ftsq,776525, 04/24/2018 ,2663.0
9562,#14W,"Off-Market,rent",1 bed,1 bath,851 ftsq,776525, 03/23/2015 ,4071.0
9563,#14X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 07/24/2017 ,2770.0
9564,#14Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 06/26/2015 ,3429.0
9565,#14Z,"Off-Market,rent",studio,1 bath,837 ftsq,776525, 03/27/2017 ,3595.0
9566,#15,"Off-Market,rent",1 bed,1 bath,750 ftsq,776525, 04/16/2013 ,3200.0
9567,#15B,"Off-Market,rent",studio,1 bath,679 ftsq,776525, 10/05/2013 ,5086.0
9568,#15C,"Off-Market,rent",studio,1 bath,589 ftsq,776525, 03/09/2018 ,3367.0
9569,#15D,"Off-Market,rent",studio,1 bath,921 ftsq,776525, 03/25/2013 ,4467.0
9570,#15E,"Off-Market,rent",1 bed,1 bath,782 ftsq,776525, 08/14/2017 ,4305.0
9571,#15F,"Off-Market,rent",1 bed,1 bath,781 ftsq,776525, 08/04/2018 ,4293.0
9572,#15G,"Off-Market,rent",1 bed,1 bath,738 ftsq,776525, 09/17/2018 ,4386.0
9573,#15J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 07/12/2018 ,3393.0
9574,#15K,"Off-Market,rent",studio,1 bath,924 ftsq,776525, 07/10/2016 ,3823.0
9575,#15L,"Off-Market,rent",1 bed,1 bath,667 ftsq,776525, 05/01/2014 ,3455.0
9576,#15M,"Off-Market,rent",1 bed,1 bath,867 ftsq,776525, 12/24/2013 ,3550.0
9577,#15P,"Off-Market,rent",studio,1 bath,557 ftsq,776525, 08/22/2016 ,3200.0
9578,#15Q,"Off-Market,rent",studio,1 bath,564 ftsq,776525, 08/28/2017 ,3054.0
9579,#15R,"Off-Market,rent",studio,1 bath,560 ftsq,776525, 11/01/2017 ,2995.0
9580,#15S,"Off-Market,rent",studio,1 bath,556 ftsq,776525, 09/25/2016 ,3055.0
9581,#15U,"Off-Market,rent",studio,1 bath,545 ftsq,776525, 05/11/2018 ,2976.0
9582,#15W,"Off-Market,rent",1 bed,1 bath,851 ftsq,776525, 05/04/2018 ,3679.0
9583,#15X,"Off-Market,rent",studio,1 bath,431 ftsq,776525, 06/15/2016 ,2766.0
9584,#15Y,"Off-Market,rent",studio,1 bath,582 ftsq,776525, 09/05/2014 ,3010.0
9585,#16A,"Off-Market,rent",2 beds,2 baths,"1,161 ftsq",776525, 12/19/2017 ,5329.0
9586,#16B,"Off-Market,rent",studio,1 bath,679 ftsq,776525, 07/05/2015 ,3681.0
9587,#16C,"Off-Market,rent",1 bed,1 bath,500 ftsq,776525,  ,2500.0
9588,#16F,"Off-Market,rent",1 bed,1 bath,781 ftsq,776525, 03/28/2018 ,4193.0
9589,#16G,"Off-Market,rent",1 bed,1 bath,738 ftsq,776525, 09/20/2018 ,4436.0
9590,#16J,"Off-Market,rent",studio,1 bath,600 ftsq,776525, 07/30/2018 ,3318.0
9591,#16K,"Off-Market,rent",1 bed,1 bath,924 ftsq,776525, 01/10/2018 ,3777.0
