,unit,status,no_rooms,no_bath,area(ftsq),id,date,price
0,#3,"Off-Market,rent",studio,1 bath,,73971, 10/12/2010 ,1650.0
1,#4,"Off-Market,sale",2 beds,3 baths,"2,000 ftsq",73971, 08/22/2018 ,10250.0
2,#1,"Off-Market,rent",2 beds,1 bath,"1,100 ftsq",786613, 10/18/2018 ,5995.0
3,#3,"Off-Market,rent",2 beds,1 bath,"1,200 ftsq",786613, 02/15/2011 ,5400.0
4,#5,"Off-Market,rent",2 beds,1 bath,"1,200 ftsq",786613, 11/20/2013 ,5200.0
5,#2W,"Off-Market,rent",2 beds,1 bath,,73749, 10/28/2015 ,2995.0
6,TOWNHOUSE,"Off-Market,sale",5 beds,4 baths,"2,800 ftsq",73749, 10/24/2012 ,14900.0
7,#TH,"Off-Market,sale",5 beds,4 baths,"2,800 ftsq",73749, 10/24/2012 ,14900.0
8,#4,"Off-Market,rent",2 beds,1 bath,650 ftsq,784204, 09/28/2015 ,3200.0
9,#4D,"Off-Market,rent",1 bed,1 bath,646 ftsq,784204, 08/04/2017 ,3950.0
10,#D,"Off-Market,rent",2 beds,1 bath,800 ftsq,784204, 04/07/2015 ,2900.0
11,#6C,"Off-Market,rent",1 bed,1 bath,,784204, 07/14/2016 ,3000.0
12,#7B,"Off-Market,rent",1 bed,1 bath,485 ftsq,784204, 03/19/2018 ,2975.0
13,#8C,"Off-Market,rent",1 bed,1 bath,500 ftsq,784204, 02/02/2015 ,2300.0
14,#1,"Off-Market,rent",2 beds,1 bath,,785105, 05/10/2017 ,2795.0
15,#2AK,"Off-Market,rent",2 beds,1 bath,,785105, 11/13/2017 ,2995.0
16,#2R,"Off-Market,rent",3 beds,2 baths,,785105, 02/05/2017 ,5495.0
17,#3,"Off-Market,rent",2 beds,1 bath,,785105, 04/06/2018 ,2700.0
18,#4D,"Off-Market,rent",2 beds,1 bath,600 ftsq,785105, 07/13/2018 ,4000.0
19,#4G,"Off-Market,rent",2 beds,1 bath,600 ftsq,785105, 07/03/2018 ,5000.0
20,#6,"Off-Market,rent",2 beds,1 bath,,785105, 06/09/2018 ,2900.0
21,#6A,"Off-Market,rent",2 beds,1 bath,,785105, 07/05/2018 ,2900.0
22,#7,"Off-Market,rent",2 beds,1 bath,,785105, 12/04/2017 ,2995.0
23,#10,"Off-Market,rent",2 beds,1 bath,,785105, 05/04/2016 ,3200.0
24,#11,"Off-Market,rent",2 beds,1 bath,,785105, 10/05/2018 ,2800.0
25,#12,"Off-Market,rent",2 beds,1 bath,,785105, 08/29/2015 ,2800.0
26,#13,"Off-Market,rent",2 beds,1 bath,,785105, 06/07/2018 ,2900.0
27,#14,"Off-Market,rent",2 beds,1 bath,,785105, 04/24/2018 ,3000.0
28,#18,"Off-Market,rent",2 beds,1 bath,,785105, 04/27/2017 ,2995.0
29,#TH,"Off-Market,sale",5 beds,5 baths,"4,650 ftsq",73319, 05/09/2018 ,32000.0
30,#1,"Off-Market,rent",2 beds,1 bath,,785404, 04/04/2017 ,3950.0
31,#TWNH,"Off-Market,sale",6 beds,7 baths,"13,000 ftsq",73150, 08/25/2009 ,70000.0
32,#1B,"Off-Market,rent",1 bed,1 bath,514 ftsq,786264, 11/26/2018 ,3499.0
33,#2B,"Off-Market,rent",1 bed,1 bath,482 ftsq,786264, 02/25/2017 ,2800.0
34,#3B,"Off-Market,rent",1 bed,1 bath,482 ftsq,786264, 08/02/2017 ,2800.0
35,#4A,"Off-Market,rent",1 bed,1 bath,485 ftsq,786264, 03/03/2016 ,2600.0
36,#4B,"Off-Market,rent",1 bed,1 bath,482 ftsq,786264, 04/13/2018 ,2650.0
37,#40,"Off-Market,rent",1 bed,1 bath,,786264, 04/01/2016 ,2600.0
38,#3,"Off-Market,sale",2 beds,2.5 baths,"1,515 ftsq",780184, 12/08/2014 ,12000.0
39,#10K,"Off-Market,rent",3 beds,1 bath,,780184, 03/08/2018 ,4200.0
40,#15C,"Off-Market,rent",1 bed,1 bath,800 ftsq,780184, 04/22/2014 ,3995.0
41,STE-411,"Off-Market,sale",studio,1 bath,611 ftsq,780184, 07/14/2017 ,1100000.0
42,#201,"Off-Market,rent",studio,1 bath,564 ftsq,780184, 01/10/2016 ,4500.0
43,#204,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 10/25/2018 ,3350.0
44,#207,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 02/20/2015 ,6500.0
45,#302,"Off-Market,rent",1 bed,1 bath,564 ftsq,780184, 05/16/2014 ,3800.0
46,#303,"Off-Market,rent",2 beds,2.5 baths,"1,244 ftsq",780184, 01/13/2017 ,8000.0
47,#306,"Off-Market,rent",studio,1 bath,495 ftsq,780184, 04/24/2014 ,3150.0
48,#401,"Off-Market,rent",1 bed,1 bath,564 ftsq,780184, 02/18/2015 ,3950.0
49,#402,"Off-Market,sale",2 beds,2.5 baths,"1,244 ftsq",780184, 08/08/2016 ,2665000.0
50,#404,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 05/22/2018 ,3500.0
51,#405,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 11/09/2017 ,3995.0
52,#406,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 09/18/2018 ,3350.0
53,#407,"Off-Market,sale",studio,1 bath,475 ftsq,780184, 04/21/2014 ,715000.0
54,#409,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 04/29/2016 ,3200.0
55,#501,"Off-Market,rent",2 beds,2 baths,"1,180 ftsq",780184, 04/09/2018 ,7600.0
56,#503,"Off-Market,rent",studio,1 bath,475 ftsq,780184, 04/11/2017 ,3200.0
57,#505,"Off-Market,sale",3 beds,3.5 baths,"1,888 ftsq",780184, 03/29/2017 ,13750.0
58,#602,"Off-Market,sale",3 beds,3.5 baths,"1,917 ftsq",780184, 03/29/2018 ,12000.0
59,#604,"Off-Market,rent",2 beds,2.5 baths,"1,410 ftsq",780184, 07/13/2016 ,9150.0
60,#606,"Off-Market,rent",studio,1 bath,611 ftsq,780184, 08/27/2018 ,3950.0
61,#701,"Off-Market,sale",2 beds,2 baths,"1,180 ftsq",780184, 12/17/2018 ,2300000.0
62,#704,"Off-Market,sale",3 beds,3.5 baths,"1,980 ftsq",780184, 09/25/2018 ,12500.0
63,#705,"Off-Market,rent",2 beds,2.5 baths,"1,353 ftsq",780184, 11/20/2016 ,8100.0
64,#803,"Off-Market,rent",1 bed,1 bath,827 ftsq,780184, 09/29/2017 ,4950.0
65,#804,"Off-Market,sale",3 beds,3.5 baths,,780184, 07/05/2016 ,4495000.0
66,#805,"Off-Market,rent",2 beds,2.5 baths,"1,353 ftsq",780184, 10/24/2016 ,8200.0
67,#901,"Off-Market,sale",2 beds,2 baths,"1,200 ftsq",780184, 12/05/2018 ,2350000.0
68,#902,"Off-Market,sale",3 beds,3.5 baths,"1,917 ftsq",780184, 04/24/2018 ,12000.0
69,#903,"Off-Market,rent",1 bed,1 bath,827 ftsq,780184, 03/15/2016 ,5300.0
70,#904,"Off-Market,sale",3 beds,3.5 baths,"1,980 ftsq",780184, 02/16/2016 ,14500.0
71,#1003,"Off-Market,rent",1 bed,1 bath,827 ftsq,780184, 10/26/2018 ,5545.0
72,#1103,"Off-Market,rent",1 bed,1 bath,827 ftsq,780184, 03/02/2018 ,5200.0
73,#1104,"Off-Market,sale",3 beds,3.5 baths,"1,980 ftsq",780184, 07/16/2017 ,13500.0
74,#1201,"Off-Market,rent",2 beds,2 baths,"1,180 ftsq",780184, 05/25/2014 ,8500.0
75,#1401,"Off-Market,sale",3 beds,3.5 baths,"1,892 ftsq",780184, 10/03/2017 ,12495.0
76,#8014,"Off-Market,rent",2 beds,2 baths,"1,180 ftsq",780184, 04/25/2014 ,7500.0
77,#PH3,"Off-Market,sale",3 beds,3.5 baths,,780184, 07/17/2017 ,7750000.0
78,#PH7,"Off-Market,sale",4 beds,4.5 baths,"3,298 ftsq",780184, 08/17/2018 ,39000.0
79,#3B,"Off-Market,rent",studio,1 bath,,72712, 05/27/2012 ,1899.0
80,#1,"Off-Market,rent",2 beds,1 bath,,785161, 10/20/2012 ,4000.0
81,#2,"Off-Market,rent",3 beds,2 baths,,785161, 08/08/2012 ,4000.0
82,#3C,"Off-Market,rent",1 bed,1 bath,,785161, 02/05/2015 ,2595.0
83,#5,"Off-Market,rent",2 beds,1 bath,,785161, 08/02/2017 ,2800.0
84,#10,"Off-Market,rent",2 beds,1 bath,,785161, 09/02/2018 ,2675.0
85,#11,"Off-Market,rent",2 beds,1 bath,,785161, 02/28/2018 ,2500.0
86,#12,"Off-Market,rent",2 beds,1 bath,,785161, 07/14/2016 ,2800.0
87,#1/2F,"Off-Market,rent",1 bed,1 bath,"1,200 ftsq",785161, 11/18/2013 ,3600.0
88,#12R,"Off-Market,rent",3 beds,1 bath,,785161, 09/06/2017 ,4550.0
89,#13,"Off-Market,rent",2 beds,1 bath,,785161, 04/27/2016 ,2800.0
90,#15,"Off-Market,rent",1 bed,1 bath,,785161, 08/26/2016 ,2800.0
91,#16,"Off-Market,rent",2 beds,1 bath,,785161, 01/06/2016 ,2500.0
92,#18,"Off-Market,rent",2 beds,1 bath,,785161, 08/02/2018 ,2600.0
93,#20,"Off-Market,rent",2 beds,1 bath,700 ftsq,785161, 05/15/2015 ,2695.0
94,#21,"Off-Market,rent",1 bed,1 bath,,785161, 07/23/2017 ,2950.0
95,#VAR,"Off-Market,rent",2 beds,1 bath,,785161, 07/10/2013 ,2600.0
96,#2,"Off-Market,rent",3 beds,2 baths,"2,750 ftsq",780728, 03/02/2018 ,9500.0
97,#2A,"Off-Market,rent",1 bed,1 bath,"1,275 ftsq",780728, 09/27/2018 ,6750.0
98,#2B,"Off-Market,sale",2 beds,2 baths,"2,750 ftsq",780728, 11/03/2017 ,11000.0
99,#2F,"Off-Market,rent",1 bed,1 bath,"1,150 ftsq",780728, 05/22/2014 ,7500.0
100,#2R,"Off-Market,sale",2 beds,2 baths,"2,750 ftsq",780728, 11/03/2017 ,11000.0
101,#3B,"Off-Market,sale",4 beds,3 baths,"2,922 ftsq",780728, 12/22/2018 ,1750000.0
102,#5,"Off-Market,sale",4 beds,5 baths,"4,100 ftsq",780728, 07/18/2018 ,7995000.0
103,#1,"Off-Market,rent",1 bed,1 bath,,71119, 06/22/2012 ,4700.0
104,#2,"Off-Market,rent",1 bed,1 bath,900 ftsq,71119, 06/04/2012 ,4700.0
105,#3,"Off-Market,rent",1 bed,1 bath,925 ftsq,71119, 07/28/2015 ,5350.0
106,#4,"Off-Market,rent",1 bed,1 bath,950 ftsq,71119, 07/10/2017 ,5400.0
107,#,"Off-Market,rent",2 beds,2 baths,,776902, 05/16/2011 ,2050.0
108,#3FLEX,"Off-Market,rent",3 beds,1 bath,,776902, 09/27/2013 ,4295.0
109,#4,"Off-Market,rent",1 bed,1 bath,,776902, 04/23/2013 ,2895.0
110,#7,"Off-Market,rent",1 bed,1 bath,,776902, 04/23/2013 ,2215.0
111,#9,"Off-Market,rent",studio,1 bath,,776902, 08/29/2014 ,2400.0
112,#11,"Off-Market,rent",studio,1 bath,,776902, 04/09/2013 ,2250.0
113,#12,"Off-Market,rent",1 bed,1 bath,,776902, 06/10/2013 ,3000.0
114,#14,"Off-Market,rent",1 bed,1 bath,,776902, 03/27/2013 ,2895.0
115,#15,"Off-Market,rent",1 bed,1 bath,,776902, 08/29/2014 ,2900.0
116,#21,"Off-Market,rent",studio,1 bath,,776902, 12/09/2013 ,2200.0
117,VAR1BRS,"Off-Market,rent",1 bed,1 bath,,776902, 08/20/2012 ,2940.0
118,#STUDIO,"Off-Market,rent",studio,1 bath,,776902, 04/16/2013 ,2320.0
119,#301,"Off-Market,rent",studio,1 bath,,776902, 11/03/2018 ,2695.0
120,#302,"Off-Market,rent",studio,1 bath,,776902, 05/07/2013 ,2300.0
121,#304,"Off-Market,rent",2 beds,1 bath,,776902, 09/26/2013 ,2653.0
122,#306,"Off-Market,rent",studio,1 bath,,776902, 03/20/2013 ,2150.0
123,#307,"Off-Market,rent",studio,1 bath,,776902, 04/29/2015 ,2500.0
124,#308,"Off-Market,rent",studio,1 bath,535 ftsq,776902, 05/10/2013 ,2290.0
125,#309,"Off-Market,rent",studio,1 bath,,776902, 08/20/2017 ,2452.0
126,#310,"Off-Market,rent",1 bed,1 bath,,776902, 03/30/2017 ,2838.0
127,#315,"Off-Market,rent",1 bed,1 bath,,776902, 06/09/2010 ,2000.0
128,#401,"Off-Market,rent",2 beds,2 baths,"1,100 ftsq",776902, 06/23/2015 ,4395.0
129,#402,"Off-Market,rent",3 beds,1 bath,,776902, 07/11/2018 ,3125.0
130,#404,"Off-Market,rent",studio,1 bath,,776902, 06/20/2017 ,2429.0
131,#406,"Off-Market,rent",2 beds,1 bath,,776902, 10/08/2014 ,2870.0
132,#408,"Off-Market,rent",3 beds,1 bath,,776902, 10/04/2014 ,2495.0
133,#409,"Off-Market,rent",1 bed,1 bath,,776902, 09/19/2018 ,3350.0
134,#410,"Off-Market,rent",1 bed,1 bath,,776902, 07/02/2014 ,3195.0
135,#411,"Off-Market,rent",studio,1 bath,,776902, 06/30/2017 ,2695.0
136,#412,"Off-Market,rent",studio,1 bath,,776902, 05/15/2012 ,2596.0
137,#415,"Off-Market,rent",1 bed,1 bath,,776902, 01/12/2018 ,3132.0
138,#416,"Off-Market,rent",studio,1 bath,,776902, 08/02/2014 ,2350.0
139,#419,"Off-Market,rent",1 bed,1 bath,,776902, 07/09/2017 ,3250.0
140,#422,"Off-Market,rent",1 bed,1 bath,,776902, 06/09/2018 ,3395.0
141,423-MIA,"Off-Market,rent",studio,1 bath,,776902, 04/07/2018 ,2505.0
142,#424,"Off-Market,rent",studio,1 bath,,776902, 02/24/2018 ,2575.0
143,#425,"Off-Market,rent",3 beds,1 bath,,776902, 09/23/2017 ,4369.0
144,#455,"Off-Market,rent",2 beds,1 bath,,776902, 06/18/2013 ,2935.0
145,#501,"Off-Market,rent",3 beds,1 bath,,776902, 12/20/2013 ,3495.0
146,#503,"Off-Market,rent",2 beds,1 bath,,776902, 01/12/2018 ,2775.0
147,#504,"Off-Market,rent",studio,1 bath,,776902, 05/15/2012 ,2575.0
148,#507,"Off-Market,rent",1 bed,1 bath,,776902, 06/19/2018 ,3195.0
149,#508,"Off-Market,rent",studio,1 bath,,776902, 12/17/2014 ,2315.0
150,508-MIA,"Off-Market,rent",studio,1 bath,,776902, 05/03/2018 ,2505.0
151,#510,"Off-Market,rent",1 bed,1 bath,,776902, 05/14/2017 ,3400.0
152,#511,"Off-Market,rent",studio,1 bath,,776902, 09/25/2015 ,2650.0
153,#512,"Off-Market,rent",studio,1 bath,,776902, 06/23/2015 ,2650.0
154,#515,"Off-Market,rent",1 bed,1 bath,,776902, 08/25/2017 ,3250.0
155,#516,"Off-Market,rent",studio,1 bath,,776902, 07/18/2017 ,2520.0
156,#517,"Off-Market,rent",2 beds,1 bath,750 ftsq,776902, 08/18/2017 ,3392.0
157,#519,"Off-Market,rent",1 bed,1 bath,,776902, 06/14/2016 ,3195.0
158,#520,"Off-Market,rent",2 beds,1 bath,,776902, 04/13/2012 ,2967.0
159,#521,"Off-Market,rent",studio,1 bath,,776902, 04/07/2013 ,2440.0
160,#522,"Off-Market,rent",1 bed,1 bath,,776902, 03/27/2014 ,2840.0
161,#523,"Off-Market,rent",studio,1 bath,,776902, 11/24/2017 ,2333.0
162,#524,"Off-Market,rent",studio,1 bath,,776902, 04/13/2012 ,2564.0
163,#525,"Off-Market,rent",2 beds,1 bath,,776902, 09/19/2018 ,4550.0
164,#600,"Off-Market,rent",1 bed,1 bath,,776902,  ,1800.0
165,#601,"Off-Market,rent",3 beds,1 bath,,776902, 08/13/2014 ,4310.0
166,#602,"Off-Market,rent",1 bed,1 bath,,776902, 10/18/2018 ,3295.0
167,#603,"Off-Market,rent",1 bed,1 bath,,776902, 04/07/2018 ,3125.0
168,#604,"Off-Market,rent",studio,1 bath,,776902, 03/12/2017 ,2145.0
169,#607,"Off-Market,rent",3 beds,2 baths,"1,155 ftsq",776902, 02/15/2017 ,2752.0
170,#610,"Off-Market,rent",2 beds,1 bath,,776902, 08/22/2015 ,3395.0
171,#614,"Off-Market,rent",studio,1 bath,,776902, 11/21/2016 ,2484.0
172,#616,"Off-Market,rent",studio,1 bath,550 ftsq,776902, 06/14/2017 ,2525.0
173,#617,"Off-Market,rent",2 beds,1 bath,,776902, 02/24/2018 ,3300.0
174,#619,"Off-Market,rent",studio,1 bath,,776902, 04/28/2017 ,2979.0
175,#621,"Off-Market,rent",studio,1 bath,,776902, 02/08/2014 ,2450.0
176,#622,"Off-Market,rent",1 bed,1 bath,,776902, 08/11/2017 ,3208.0
177,623-MIA,"Off-Market,rent",studio,1 bath,,776902, 05/03/2018 ,2505.0
178,#625,"Off-Market,rent",2 beds,2 baths,"1,100 ftsq",776902, 06/10/2015 ,4595.0
179,#650,"Off-Market,rent",1 bed,1 bath,,776902, 06/02/2017 ,2895.0
180,#701,"Off-Market,rent",2 beds,2 baths,"1,180 ftsq",776902, 08/13/2014 ,4885.0
181,#702,"Off-Market,rent",1 bed,1 bath,,776902, 07/23/2018 ,3150.0
182,#703,"Off-Market,rent",1 bed,1 bath,,776902, 05/30/2018 ,3150.0
183,#705,"Off-Market,rent",1.5 beds,1 bath,,776902, 04/10/2018 ,2612.0
184,#708,"Off-Market,rent",studio,1 bath,500 ftsq,776902, 08/24/2018 ,2750.0
185,#709,"Off-Market,rent",1 bed,1 bath,,776902, 08/09/2013 ,2745.0
186,#710,"Off-Market,rent",1 bed,1 bath,700 ftsq,776902, 09/08/2018 ,3575.0
187,#711,"Off-Market,rent",studio,1 bath,,776902, 09/26/2017 ,2567.0
188,#712,"Off-Market,rent",studio,1 bath,,776902, 09/20/2016 ,2521.0
189,#714,"Off-Market,rent",studio,1 bath,550 ftsq,776902, 09/19/2018 ,2750.0
190,#715,"Off-Market,rent",2 beds,1 bath,700 ftsq,776902, 04/07/2018 ,3395.0
191,#716,"Off-Market,rent",studio,1 bath,,776902, 03/20/2016 ,2396.0
192,#717,"Off-Market,rent",1 bed,1 bath,,776902, 05/10/2018 ,3595.0
193,#719,"Off-Market,rent",2 beds,1 bath,,776902, 02/24/2018 ,3195.0
194,#721,"Off-Market,rent",studio,1 bath,,776902, 06/17/2017 ,2543.0
195,#722,"Off-Market,rent",1 bed,1 bath,,776902, 03/31/2017 ,2873.0
196,#723,"Off-Market,rent",studio,1 bath,,776902, 07/09/2017 ,2429.0
197,#724,"Off-Market,rent",studio,1 bath,,776902, 06/15/2016 ,2363.0
198,#725,"Off-Market,rent",2 beds,2 baths,,776902, 12/19/2018 ,4500.0
199,#801,"Off-Market,rent",2 beds,1 bath,,776902, 05/14/2017 ,3995.0
200,#802,"Off-Market,rent",1 bed,1 bath,,776902, 09/01/2017 ,2979.0
201,#803,"Off-Market,rent",1 bed,1 bath,,776902, 08/24/2018 ,3295.0
202,#804,"Off-Market,rent",studio,1 bath,,776902, 12/19/2018 ,2444.0
203,#805,"Off-Market,rent",studio,1 bath,,776902, 07/07/2009 ,2400.0
204,#807,"Off-Market,rent",1 bed,1 bath,,776902, 07/30/2017 ,3395.0
205,#809,"Off-Market,rent",1 bed,1 bath,600 ftsq,776902, 08/03/2018 ,3250.0
206,#811,"Off-Market,rent",studio,1 bath,,776902, 09/30/2016 ,2562.0
207,#814,"Off-Market,rent",studio,1 bath,,776902, 10/13/2017 ,2445.0
208,#815,"Off-Market,rent",1 bed,1 bath,,776902, 09/19/2018 ,3495.0
209,#816,"Off-Market,rent",studio,1 bath,,776902, 03/05/2015 ,2650.0
210,#818,"Off-Market,rent",2 beds,1 bath,,776902, 08/25/2017 ,3437.0
211,#819,"Off-Market,rent",2 beds,1 bath,,776902, 07/07/2015 ,3095.0
212,#821,"Off-Market,rent",1 bed,1 bath,,776902, 04/27/2018 ,2795.0
213,#822,"Off-Market,rent",2 beds,1 bath,,776902, 11/04/2014 ,3065.0
214,#823,"Off-Market,rent",studio,1 bath,,776902, 11/24/2017 ,2377.0
215,#825,"Off-Market,rent",2 beds,2 baths,"1,150 ftsq",776902,  ,4500.0
216,#901,"Off-Market,rent",1 bed,1 bath,,776902, 08/24/2018 ,3450.0
217,#902,"Off-Market,rent",studio,1 bath,,776902, 04/13/2018 ,2595.0
218,#904,"Off-Market,rent",studio,1 bath,,776902, 12/19/2018 ,2450.0
219,#905,"Off-Market,rent",1 bed,1 bath,,776902, 06/09/2018 ,2925.0
220,#906,"Off-Market,rent",1 bed,1 bath,,776902, 09/19/2013 ,2745.0
221,#908,"Off-Market,rent",studio,1 bath,,776902, 01/18/2017 ,2255.0
222,#909,"Off-Market,rent",1 bed,1 bath,,776902, 09/08/2017 ,3093.0
223,#912,"Off-Market,rent",studio,1 bath,,776902, 09/10/2017 ,2566.0
224,#914,"Off-Market,rent",studio,1 bath,,776902, 09/02/2015 ,2725.0
225,#915,"Off-Market,rent",2 beds,1 bath,,776902, 04/12/2017 ,3203.0
226,#917,"Off-Market,rent",2 beds,1 bath,,776902, 06/25/2014 ,3350.0
227,#920,"Off-Market,rent",1 bed,1 bath,,776902, 10/26/2013 ,2745.0
228,#921,"Off-Market,rent",studio,1 bath,,776902, 04/12/2017 ,2590.0
229,#923,"Off-Market,rent",studio,1 bath,,776902, 01/27/2012 ,2300.0
230,#924,"Off-Market,rent",studio,1 bath,,776902, 09/03/2017 ,2470.0
231,#925,"Off-Market,rent",2 beds,1 bath,,776902, 02/24/2018 ,3162.0
232,#1000,"Off-Market,rent",2 beds,1 bath,,776902, 07/03/2013 ,3200.0
233,#1001,"Off-Market,rent",1 bed,1 bath,750 ftsq,776902, 08/19/2016 ,3071.0
234,#1002,"Off-Market,rent",2 beds,1 bath,,776902, 09/07/2018 ,2750.0
235,#1003,"Off-Market,rent",1 bed,1 bath,,776902, 05/13/2017 ,3125.0
236,#1005,"Off-Market,rent",1 bed,1 bath,,776902, 12/22/2017 ,2600.0
237,#1007,"Off-Market,rent",2 beds,1 bath,,776902, 07/03/2013 ,3300.0
238,#1008,"Off-Market,rent",1 bed,1 bath,,776902, 08/05/2016 ,2470.0
239,#1009,"Off-Market,rent",1 bed,1 bath,,776902, 09/03/2014 ,2970.0
240,#1012,"Off-Market,rent",studio,1 bath,,776902, 09/25/2015 ,2725.0
241,#1014,"Off-Market,rent",studio,1 bath,,776902, 10/27/2017 ,2533.0
242,#1015,"Off-Market,rent",2 beds,1 bath,,776902, 04/17/2018 ,3450.0
243,#1016,"Off-Market,rent",studio,1 bath,,776902, 01/28/2017 ,2232.0
244,#1017,"Off-Market,rent",1 bed,1 bath,,776902, 12/28/2015 ,3595.0
245,#1018,"Off-Market,rent",2 beds,1 bath,,776902, 02/04/2015 ,3115.0
246,#1021,"Off-Market,rent",studio,1 bath,,776902, 02/06/2016 ,2500.0
247,#1022,"Off-Market,rent",2 beds,1 bath,750 ftsq,776902, 02/04/2015 ,2930.0
248,#1023,"Off-Market,rent",studio,1 bath,,776902, 06/15/2018 ,2695.0
249,#1024,"Off-Market,rent",studio,1 bath,,776902, 11/30/2017 ,2395.0
250,#1102,"Off-Market,rent",1 bed,1 bath,,776902, 07/20/2018 ,3295.0
251,#1103,"Off-Market,rent",studio,1 bath,500 ftsq,776902, 09/02/2016 ,2521.0
252,#1104,"Off-Market,rent",1 bed,1 bath,,776902, 06/09/2018 ,3275.0
253,#1105,"Off-Market,rent",1 bed,1 bath,,776902, 11/30/2013 ,2890.0
254,#1106,"Off-Market,rent",studio,1 bath,,776902, 12/09/2017 ,2484.0
255,#1109,"Off-Market,rent",1 bed,1 bath,,776902, 04/13/2011 ,2895.0
256,#1111,"Off-Market,rent",2 beds,1 bath,,776902, 10/04/2014 ,3395.0
257,#1112,"Off-Market,rent",2 beds,1 bath,,776902, 02/28/2018 ,3345.0
258,#1114,"Off-Market,rent",studio,1 bath,,776902, 09/09/2016 ,3071.0
259,#1115,"Off-Market,rent",3 beds,2 baths,,776902, 04/12/2018 ,4925.0
260,#1118,"Off-Market,rent",3 beds,1 bath,"1,150 ftsq",776902, 05/07/2017 ,4795.0
261,#1119,"Off-Market,rent",3 beds,1 bath,,776902, 06/15/2018 ,3495.0
262,#1201,"Off-Market,rent",studio,1 bath,,776902, 10/19/2015 ,2725.0
263,#1202,"Off-Market,rent",studio,1 bath,720 ftsq,776902, 06/27/2015 ,3150.0
264,#1203,"Off-Market,rent",studio,1 bath,,776902, 05/22/2018 ,2695.0
265,#1204,"Off-Market,rent",1 bed,1 bath,,776902, 04/09/2012 ,3950.0
266,#1205,"Off-Market,rent",1 bed,1 bath,,776902, 02/16/2018 ,3112.0
267,#1206,"Off-Market,rent",studio,1 bath,,776902, 08/13/2014 ,2445.0
268,#1207,"Off-Market,rent",studio,1 bath,,776902, 04/13/2012 ,2360.0
269,#1208,"Off-Market,rent",studio,1 bath,,776902, 09/08/2017 ,2520.0
270,#1210,"Off-Market,rent",studio,0.5 baths,,776902, 12/04/2015 ,2695.0
271,#1211,"Off-Market,rent",2 beds,1 bath,,776902, 07/09/2014 ,3350.0
272,#1214,"Off-Market,rent",2 beds,1 bath,,776902, 04/30/2017 ,3250.0
273,#1215,"Off-Market,rent",studio,1 bath,,776902, 04/12/2017 ,2378.0
274,#1218,"Off-Market,rent",2 beds,1 bath,,776902, 01/04/2014 ,2845.0
275,#1220,"Off-Market,rent",1 bed,1 bath,,776902, 07/26/2010 ,2650.0
276,#1401,"Off-Market,rent",2 beds,2 baths,,776902, 03/11/2013 ,4000.0
277,#1402,"Off-Market,rent",1 bed,1 bath,,776902, 04/07/2018 ,3195.0
278,#1404,"Off-Market,rent",1 bed,1 bath,,776902, 08/25/2017 ,3095.0
279,#1405,"Off-Market,rent",studio,1 bath,,776902, 12/04/2015 ,2650.0
280,#1406,"Off-Market,rent",studio,1 bath,550 ftsq,776902, 06/14/2017 ,2685.0
281,#1407,"Off-Market,rent",studio,1 bath,,776902, 09/29/2018 ,2795.0
282,#1408,"Off-Market,rent",studio,1 bath,,776902, 07/07/2015 ,2695.0
283,#1409,"Off-Market,rent",2 beds,2 baths,,776902, 03/11/2013 ,4000.0
284,#1410,"Off-Market,rent",2 beds,1 bath,,776902, 03/19/2013 ,3950.0
285,#1411,"Off-Market,rent",2 beds,2 baths,,776902, 08/13/2013 ,3050.0
286,#1414,"Off-Market,rent",1 bed,1 bath,,776902, 07/09/2017 ,3387.0
287,#1502,"Off-Market,rent",2 beds,1 bath,,776902, 11/26/2014 ,2925.0
288,#1503,"Off-Market,rent",studio,1 bath,,776902, 09/02/2016 ,2498.0
289,#1504,"Off-Market,rent",1 bed,1 bath,,776902, 12/11/2018 ,3254.0
290,#1505,"Off-Market,rent",studio,1 bath,,776902, 09/02/2015 ,2695.0
291,#1506,"Off-Market,rent",studio,1 bath,,776902, 04/12/2018 ,2795.0
292,#1507,"Off-Market,rent",studio,1 bath,,776902, 03/27/2014 ,2450.0
293,#1508,"Off-Market,rent",studio,1 bath,,776902, 09/26/2013 ,2380.0
294,#1509,"Off-Market,rent",2 beds,1 bath,,776902, 09/23/2017 ,3140.0
295,#1510,"Off-Market,rent",1 bed,1 bath,,776902, 08/11/2017 ,3345.0
296,#1511,"Off-Market,rent",2 beds,1 bath,,776902, 07/21/2015 ,3495.0
297,#1514,"Off-Market,rent",2 beds,1 bath,,776902, 07/18/2017 ,4850.0
298,#1516,"Off-Market,rent",1 bed,1 bath,700 ftsq,776902, 06/15/2018 ,3495.0
299,#1517,"Off-Market,rent",2 beds,1 bath,,776902, 05/22/2018 ,3575.0
300,#1521,"Off-Market,rent",2 beds,2 baths,"1,160 ftsq",776902, 06/07/2013 ,3995.0
301,#1604,"Off-Market,rent",1 bed,1 bath,,776902, 11/26/2014 ,3255.0
